employee_id,name,department,date,tasks_completed,hours_worked,quality_score
10001,Alice E.,Packaging,2025-01-01,57,40,85%
10002,Jake L.,Packaging,2025-01-01,64,40,91%
10003,Lana S.,QA,2025-01-01,57,40,87%
10004,Bruce I.,Packaging,2025-01-01,51,40,95%
10005,Mira C.,Packaging,2025-01-01,37,40,94%
10006,Ethan Z.,Packaging,2025-01-01,49,40,98%
10007,Nina O.,QA,2025-01-01,55,40,94%
10008,Leo R.,Packaging,2025-01-01,38,40,91%
10009,Grace W.,QA,2025-01-01,54,40,90%
10010,Omar J.,Packaging,2025-01-01,66,40,94%
10011,Tina U.,QA,2025-01-01,65,40,85%
10012,Raj V.,QA,2025-01-01,48,40,91%
10013,Chloe Y.,QA,2025-01-01,67,40,95%
10014,Ivan D.,QA,2025-01-01,58,40,99%
10015,Sara G.,Packaging,2025-01-01,43,40,100%
10001,Alice E.,Packaging,2025-01-08,40,40,87%
10002,Jake L.,QA,2025-01-08,62,40,95%
10003,Lana S.,Asssembly,2025-01-08,45,40,94%
10004,Bruce I.,Asssembly,2025-01-08,42,40,89%
10005,Mira C.,Asssembly,2025-01-08,32,40,92%
10006,Ethan Z.,QA,2025-01-08,69,40,87%
10007,Nina O.,QA,2025-01-08,56,40,91%
10008,Leo R.,Packaging,2025-01-08,54,40,100%
10009,Grace W.,QA,2025-01-08,45,40,89%
10010,Omar J.,Packaging,2025-01-08,30,40,88%
10011,Tina U.,QA,2025-01-08,44,40,90%
10012,Raj V.,Packaging,2025-01-08,63,40,99%
10013,Chloe Y.,Asssembly,2025-01-08,65,40,92%
10014,Ivan D.,Asssembly,2025-01-08,59,40,89%
10015,Sara G.,QA,2025-01-08,63,40,95%
10001,Alice E.,QA,2025-01-15,69,40,98%
10002,Jake L.,Packaging,2025-01-15,58,40,90%
10003,Lana S.,Packaging,2025-01-15,60,40,99%
10004,Bruce I.,QA,2025-01-15,45,40,93%
10005,Mira C.,Packaging,2025-01-15,61,40,92%
10006,Ethan Z.,QA,2025-01-15,58,40,87%
10007,Nina O.,Packaging,2025-01-15,48,40,92%
10008,Leo R.,QA,2025-01-15,51,40,95%
10009,Grace W.,Packaging,2025-01-15,35,40,89%
10010,Omar J.,Asssembly,2025-01-15,44,40,97%
10011,Tina U.,Packaging,2025-01-15,39,40,91%
10012,Raj V.,Asssembly,2025-01-15,56,40,98%
10013,Chloe Y.,QA,2025-01-15,64,40,99%
10014,Ivan D.,QA,2025-01-15,33,40,91%
10015,Sara G.,QA,2025-01-15,54,40,85%
10001,Alice E.,Packaging,2025-01-22,54,40,100%
10002,Jake L.,Asssembly,2025-01-22,52,40,94%
10003,Lana S.,QA,2025-01-22,56,40,92%
10004,Bruce I.,QA,2025-01-22,44,40,93%
10005,Mira C.,QA,2025-01-22,61,40,85%
10006,Ethan Z.,QA,2025-01-22,51,40,97%
10007,Nina O.,Packaging,2025-01-22,40,40,99%
10008,Leo R.,Asssembly,2025-01-22,69,40,85%
10009,Grace W.,QA,2025-01-22,67,40,85%
10010,Omar J.,Asssembly,2025-01-22,57,40,89%
10011,Tina U.,QA,2025-01-22,41,40,86%
10012,Raj V.,QA,2025-01-22,54,40,95%
10013,Chloe Y.,Asssembly,2025-01-22,59,40,95%
